engine,query,tags,platform,python,cpu_count,memory_total_mb,count,mean_ms,stdev_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,errors,expect_failures,dataset,variant,run_dir
lance_graph_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.477,0.137,4.153,4.684,4.481,4.670,4.680,0,0,novel,no,graphrag_eval_v1_novel_no_index_20260216_044430
lance_graph_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.292,0.041,1.218,1.377,1.295,1.352,1.371,0,0,novel,no,graphrag_eval_v1_novel_no_index_20260216_044430
lance_graph_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,36.184,2.791,32.848,49.081,35.683,37.962,45.901,0,0,novel,no,graphrag_eval_v1_novel_no_index_20260216_044430
neo4j_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,4.651,2.664,2.251,12.743,3.924,11.893,12.573,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
neo4j_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,11.048,0.815,10.269,13.425,10.778,13.149,13.382,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
neo4j_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,3.690,0.663,2.958,5.593,3.561,5.093,5.498,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
neo4j_local,deep_traversal_5hop,"deep,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,25.209,1.070,24.048,28.382,24.836,27.326,28.164,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
kuzu_local,hybrid_search,"hybrid,vector,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,1.998,0.586,1.510,3.737,1.843,3.635,3.713,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
kuzu_local,local_search_2hop,"local,traversal",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,7.273,0.303,6.529,7.695,7.403,7.563,7.661,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
kuzu_local,global_search,"global,aggregation",Linux-6.6.97+-x86_64-with-glibc2.36,3.11.2,96,386939.973,30,2.495,1.020,1.273,4.033,2.207,3.770,3.959,0,0,cs,index,graphrag_eval_v1_cs_index_20260216_044509
